invoice_date,invoice_number,location_zip,total,completion_date
2021-01-15,18969046,80917.0,49.0,2021-01-15
2020-12-15,18969302,80906.0,84.0,2020-12-15
2021-01-15,18969558,80921.0,84.0,2021-01-15
2021-01-15,18969814,80831.0,0.0,2021-01-15
2021-01-18,18970070,80831.0,84.0,2021-01-18
2021-01-15,18970326,80911.0,512.0,2021-01-15
2021-01-18,18970337,80920.0,49.0,2021-01-18
2021-01-15,19591358,80923.0,84.0,2021-01-15
2021-01-18,19591486,80927.0,84.0,2021-01-18
2021-01-19,19591614,80951.0,0.0,2021-01-19
2021-01-15,20328847,80925.0,84.0,2021-01-15
2021-01-18,20328980,80906.0,84.0,2021-01-18
2021-01-15,20329103,80911.0,152.0,2021-01-15
2021-01-18,20329114,80925.0,84.0,2021-01-18
2021-01-18,20329231,80906.0,0.0,2021-01-18
2021-01-18,20329487,80922.0,84.0,2021-01-18
2021-01-13,20329743,80908.0,650.0,2021-01-13
2021-01-19,20330255,80924.0,84.0,2021-01-19
2021-01-26,20357007,80920.0,495.0,2021-01-26
2021-04-26,21942357,80919.0,49.0,2021-04-26
2021-01-27,21946083,80905.0,495.0,2021-01-27
2021-02-03,21963733,80918.0,0.0,2021-02-03
2021-02-04,21966549,80920.0,732.4,2021-02-04
2021-02-05,21971031,80918.0,1498.4,2021-02-05
2021-04-21,21971031-1,80918.0,0.0,2021-02-05
2021-02-04,21971413,80920.0,428.4,2021-02-04
2021-04-05,21972821,80906.0,2109.4,2021-04-05
2021-02-08,22606269,80904.0,0.5,2021-02-08
2021-02-10,23966935,80904.0,1033.0,2021-02-10
2021-02-10,23967701,80904.0,323.0,2021-02-10
2021-02-11,23970259,80919.0,0.0,2021-02-11
2021-03-29,23972179,80905.0,194.4,2021-03-29
2021-04-07,23972691,80919.0,0.0,2021-04-07
2021-02-11,23973075,80904.0,395.0,2021-02-11
2021-04-14,23976531,80132.0,0.0,2021-04-14
2021-04-14,23976787,80920.0,49.0,2021-04-14
2021-02-18,23986131,80904.0,0.0,2021-02-18
2021-04-28,23986516,80925.0,153.0,2021-04-28
2021-03-22,23988947,80904.0,199.0,2021-03-22
2021-03-11,23993939,80132.0,149.0,2021-03-11
2021-02-22,23999059,80904.0,467.0,2021-02-22
2021-05-04,24003795,80919.0,0.0,2021-05-04
2021-04-27,24005206,80906.0,2182.0,2021-04-27
2021-03-08,24005336,80106.0,149.0,2021-03-08
2021-03-09,24010579,80904.0,548.0,2021-03-09
2021-05-04,24012883,80905.0,234.0,2021-05-04
2021-03-03,24014547,80907.0,0.0,2021-03-03
2021-04-19,24015827,80915.0,49.0,2021-04-19
2021-03-10,24016470,80106.0,149.0,2021-03-10
2021-03-19,24020819,80906.0,149.0,2021-03-19
2021-04-19,24021331,80925.0,167.4,2021-04-19
2021-05-05,24021587,80907.0,236.4,2021-05-05
2021-05-05,24021843,80907.0,495.0,2021-05-05
2021-05-03,24022099,80920.0,0.0,2021-05-03
2021-05-10,24025171,80906.0,205.4,2021-05-10
2021-05-20,24025427,80919.0,199.0,2021-05-20
2021-03-26,24025683,80906.0,846.95,2021-03-26
2021-04-28,24028883,80920.0,634.4,2021-04-28
2021-03-16,24029523,80924.0,495.0,2021-03-16
2021-04-05,24031443,80907.0,0.0,2021-04-05
2021-05-17,24031827,80916.0,84.0,2021-05-17
2021-03-31,24038227,80906.0,73.0,2021-03-31
2021-04-06,24038611,80911.0,236.4,2021-04-06
2021-05-10,24038995,80919.0,0.0,2021-05-10
2021-03-29,24040915,80817.0,830.0,2021-03-29
2021-05-17,24041171,80920.0,84.0,2021-05-17
2021-05-18,24044243,80921.0,299.0,2021-05-18
2021-04-07,24047315,80929.0,737.95,2021-04-07
2021-04-07,24047831,80920.0,854.0,2021-04-07
2021-03-19,24047962,80904.0,175.0,2021-03-19
2021-04-06,24049619,80906.0,84.0,2021-04-06
2021-04-01,24054372,80906.0,49.0,2021-04-01
2021-04-26,24054747,80916.0,0.0,2021-04-26
2021-05-05,24054869,80920.0,2362.4,2021-05-05
2021-04-02,24054999,80817.0,0.0,2021-04-02
2021-04-08,24055134,80922.0,84.0,2021-04-08
2021-04-26,24055764,80925.0,167.4,2021-04-26
2021-04-06,24056276,80907.0,167.4,2021-04-06
2021-04-26,24056406,80911.0,0.0,2021-04-26
2021-04-25,24056536,80906.0,0.0,2021-04-25
2021-03-29,24056659,80917.0,1621.4,2021-03-29
2021-04-23,24056673,80906.0,584.0,2021-04-23
2021-04-05,24057941,80817.0,0.0,2021-04-05
2021-04-21,24057954,80911.0,0.0,2021-04-21
2021-04-12,24058067,80906.0,1035.0,2021-04-12
2021-04-01,24058323,80817.0,150.0,2021-04-01
2021-04-13,24058337,80911.0,0.0,2021-04-13
2021-03-26,24059219,80910.0,0.0,2021-03-26
2021-05-04,24059232,80916.0,167.4,2021-05-04
2021-03-31,24059245,80909.0,452.0,2021-04-05
2021-04-01,24059475,80817.0,728.0,2021-04-01
2021-04-06,24059475-1,80817.0,0.0,2021-04-01
2021-03-31,24059493,80923.0,1880.95,2021-03-31
2021-04-23,24059738,80916.0,414.0,2021-04-23
2021-04-26,24060371,80910.0,313.0,2021-04-26
2021-05-06,24060499,80817.0,19.0,2021-05-06
2021-04-30,24060890,80906.0,49.0,2021-04-30
2021-05-12,24061523,80916.0,0.0,2021-05-12
2021-04-06,24061536,80909.0,243.0,2021-04-06
2021-05-25,24061655,80925.0,0.0,2021-05-25
2021-05-17,24062036,80925.0,114.0,2021-05-17
2021-05-07,24062164,80906.0,0.0,2021-05-07
2021-03-25,24062675,80909.0,1227.0,2021-03-25
2021-04-15,24062688,80925.0,0.0,2021-04-15
2021-04-12,24062702,80925.0,49.0,2021-05-04
2021-04-15,24063059,80925.0,0.0,2021-04-15
2021-05-03,24064723,80907.0,369.4,2021-05-03
2021-04-15,24064736,80132.0,69.0,2021-04-15
2021-04-07,24064979,80919.0,57.0,2021-04-07
2021-04-12,24064993,80906.0,167.4,2021-04-12
2021-05-24,24065235,80906.0,162.0,2021-05-24
2021-04-16,24065491,80907.0,916.0,2021-04-16
2021-03-26,24065875,80907.0,144.0,2021-03-26
2021-03-26,24066003,80909.0,0.0,2021-03-26
2021-04-08,24066515,80905.0,0.0,2021-04-08
2021-04-12,24066771,80906.0,49.0,2021-04-12
2021-05-12,24066900,80905.0,0.0,2021-05-12
2021-04-12,24067027,80907.0,150.0,2021-04-12
2021-04-06,24067539,80907.0,79.0,2021-04-06
2021-04-14,24068179,80907.0,0.0,2021-04-14
2021-03-26,24068435,80907.0,138.0,2021-03-26
2021-05-06,24068563,80904.0,288.0,2021-05-06
2021-05-12,24068576,80904.0,0.0,2021-05-12
2021-06-02,24068590,80903.0,167.4,2021-06-02
2021-04-29,24068691,80907.0,184.0,2021-04-29
2021-04-26,24068947,80906.0,378.0,2021-04-26
2021-04-14,24069459,80904.0,240.0,2021-04-14
2021-04-26,24069459-1,80904.0,-35.0,2021-04-14
2021-04-26,24069459-2,80904.0,35.0,2021-04-14
2021-04-29,24069843,80906.0,69.0,2021-04-29
2021-04-07,24070099,80906.0,0.0,2021-04-07
2021-03-19,24075219,80904.0,0.0,2021-03-19
2021-05-10,24079187,80908.0,167.4,2021-05-10
