Invoice Date,Invoice #,Location City,Location State,Location Zip,Job Type,Zone,Total,Completion Date,Job Class
2021-01-15,18969046,Colorado Springs,CO,80917.0,Sprinkler Repair,Powers,49.0,2021-01-15,Service
2020-12-15,18969302,Colorado Springs,CO,80906.0,Sprinkler Blowout,Broadmoor,84.0,2020-12-15,Blowout
2021-01-15,18969558,Colorado Springs,CO,80921.0,Sprinkler Blowout,North,84.0,2021-01-15,Blowout
2021-01-15,18969814,Peyton,CO,80831.0,Sprinkler Blowout,East,0.0,2021-01-15,Blowout
2021-01-18,18970070,Peyton,CO,80831.0,Sprinkler Blowout,East,84.0,2021-01-18,Blowout
2021-01-15,18970326,Colorado Springs,CO,80911.0,Sprinkler Repair,Fountain/Security,512.0,2021-01-15,Service
2021-01-18,18970337,Colorado Springs,CO,80920.0,Sprinkler Repair,Briargate,49.0,2021-01-18,Service
2021-01-15,19591358,Colorado Springs,CO,80923.0,Sprinkler Blowout,Briargate,84.0,2021-01-15,Blowout
2021-01-18,19591486,Colorado Springs,CO,80927.0,Sprinkler Blowout,East,84.0,2021-01-18,Blowout
2021-01-19,19591614,Colorado Springs,CO,80951.0,Sprinkler Blowout,Powers,0.0,2021-01-19,Blowout
2021-01-15,20328847,Colorado Springs,CO,80925.0,Sprinkler Blowout,Fountain/Security,84.0,2021-01-15,Blowout
2021-01-18,20328980,Colorado Springs,CO,80906.0,Sprinkler Blowout,Broadmoor,84.0,2021-01-18,Blowout
2021-01-15,20329103,Colorado Springs,CO,80911.0,Sprinkler Repair,Fountain/Security,152.0,2021-01-15,Service
2021-01-18,20329114,Colorado Springs,CO,80925.0,Sprinkler Blowout,Fountain/Security,84.0,2021-01-18,Blowout
2021-01-18,20329231,Colorado Springs,CO,80906.0,Sprinkler Repair,Broadmoor,0.0,2021-01-18,Service
2021-01-18,20329487,Colorado Springs,CO,80922.0,Sprinkler Blowout,Powers,84.0,2021-01-18,Blowout
2021-01-13,20329743,Black Forest,CO,80908.0,Sprinkler Blowout,Black Forest/ Elbert,650.0,2021-01-13,Blowout
2021-01-19,20330255,Colorado Springs,CO,80924.0,Sprinkler Blowout,Briargate,84.0,2021-01-19,Blowout
2021-01-26,20357007,Colorado Springs,CO,80920.0,Sprinkler Repair,Briargate,495.0,2021-01-26,Service
2021-04-26,21942357,Colorado Springs,CO,80919.0,Sprinkler Repair,Westside,49.0,2021-04-26,Service
2021-01-27,21946083,Colorado Springs,CO,80905.0,Sprinkler Repair,Broadmoor,495.0,2021-01-27,Service
2021-02-03,21963733,Colorado Springs,CO,80918.0,Sprinkler Repair,Briargate,0.0,2021-02-03,Service
2021-02-04,21966549,Colorado Springs,CO,80920.0,Sprinkler Repair,Briargate,732.4,2021-02-04,Service
2021-02-05,21971031,Colorado Springs,CO,80918.0,Sprinkler Repair,Briargate,1498.4,2021-02-05,Service
2021-04-21,21971031-1,Colorado Springs,CO,80918.0,Sprinkler Repair,Briargate,0.0,2021-02-05,Service
2021-02-04,21971413,Colorado Springs,CO,80920.0,Sprinkler Repair,Briargate,428.4,2021-02-04,Service
2021-04-05,21972821,Colorado Springs,CO,80906.0,Sprinkler Repair,Broadmoor,2109.4,2021-04-05,Service
2021-02-08,22606269,colorado springs ,CO,80904.0,Sprinkler Startup ,Westside,0.5,2021-02-08,Startup
2021-02-10,23966935,colorado springs ,CO,80904.0,Sprinkler Startup ,Westside,1033.0,2021-02-10,Startup
2021-02-10,23967701,colorado springs ,CO,80904.0,Sprinkler Startup ,Westside,323.0,2021-02-10,Startup
2021-02-11,23970259,Colorado Springs,CO,80919.0,Sprinkler Repair,Westside,0.0,2021-02-11,Service
2021-03-29,23972179,Colorado Springs,CO,80905.0,Sprinkler Startup ,Broadmoor,194.4,2021-03-29,Startup
2021-04-07,23972691,Colorado Springs,CO,80919.0,Sprinkler Startup ,Westside,0.0,2021-04-07,Startup
2021-02-11,23973075,colorado springs ,CO,80904.0,Call Back,Westside,395.0,2021-02-11,Call Back
2021-04-14,23976531,Monument,CO,80132.0,Sprinkler Startup ,North,0.0,2021-04-14,Startup
2021-04-14,23976787,Colorado Springs,CO,80920.0,Sprinkler Repair,Briargate,49.0,2021-04-14,Service
2021-02-18,23986131,colorado springs ,CO,80904.0,Sprinkler Repair,Westside,0.0,2021-02-18,Service
2021-04-28,23986516,Colorado Springs,CO,80925.0,Sprinkler Startup ,Fountain/Security,153.0,2021-04-28,Startup
2021-03-22,23988947,colorado springs ,CO,80904.0,Sprinkler Repair,Westside,199.0,2021-03-22,Service
2021-03-11,23993939,Monument,CO,80132.0,Sprinkler Repair,North,149.0,2021-03-11,Service
2021-02-22,23999059,colorado springs ,CO,80904.0,Sprinkler Repair,Westside,467.0,2021-02-22,Service
2021-05-04,24003795,Colorado Springs,CO,80919.0,Sprinkler Startup ,Westside,0.0,2021-05-04,Startup
2021-04-27,24005206,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,2182.0,2021-04-27,Startup
2021-03-08,24005336,Elbert,CO,80106.0,Sprinkler Startup ,Black Forest/ Elbert,149.0,2021-03-08,Startup
2021-03-09,24010579,colorado springs ,CO,80904.0,Sprinkler Repair,Westside,548.0,2021-03-09,Service
2021-05-04,24012883,Colorado Springs,CO,80905.0,Sprinkler Startup ,Broadmoor,234.0,2021-05-04,Startup
2021-03-03,24014547,Colorado Springs,CO,80907.0,Sprinkler Repair,Downtown,0.0,2021-03-03,Service
2021-04-19,24015827,Colorado Springs,CO,80915.0,Sprinkler Repair,Powers,49.0,2021-04-19,Service
2021-03-10,24016470,Elbert,CO,80106.0,Sprinkler Repair,Black Forest/ Elbert,149.0,2021-03-10,Service
2021-03-19,24020819,Colorado Springs,CO,80906.0,Consultation,Broadmoor,149.0,2021-03-19,
2021-04-19,24021331,Colorado Srings,CO,80925.0,Sprinkler Startup ,Fountain/Security,167.4,2021-04-19,Startup
2021-05-05,24021587,Colorado Springs,CO,80907.0,Sprinkler Startup ,Downtown,236.4,2021-05-05,Startup
2021-05-05,24021843,Colorado Springs,CO,80907.0,Sprinkler Repair,Downtown,495.0,2021-05-05,Service
2021-05-03,24022099,Colorado Springs,CO,80920.0,Sprinkler Startup ,Briargate,0.0,2021-05-03,Startup
2021-05-10,24025171,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,205.4,2021-05-10,Startup
2021-05-20,24025427,Colorado Springs,CO,80919.0,Sprinkler Startup ,Westside,199.0,2021-05-20,Startup
2021-03-26,24025683,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,846.95,2021-03-26,Startup
2021-04-28,24028883,Colorado Springs,CO,80920.0,Sprinkler Startup ,Briargate,634.4,2021-04-28,Startup
2021-03-16,24029523,Colorado Springs,CO,80924.0,Sprinkler Repair,Briargate,495.0,2021-03-16,Service
2021-04-05,24031443,Colorado Springs,CO,80907.0,Sprinkler Startup ,Downtown,0.0,2021-04-05,Startup
2021-05-17,24031827,Colorado Springs,CO,80916.0,Sprinkler Startup ,Airport,84.0,2021-05-17,Startup
2021-03-31,24038227,Colorado Springs,CO,80906.0,Sprinkler Repair,Broadmoor,73.0,2021-03-31,Service
2021-04-06,24038611,Colorado Springs,CO,80911.0,Sprinkler Startup ,Fountain/Security,236.4,2021-04-06,Startup
2021-05-10,24038995,Colorado Springs,CO,80919.0,Sprinkler Startup ,Westside,0.0,2021-05-10,Startup
2021-03-29,24040915,Fountain,CO,80817.0,Sprinkler Startup ,Fountain/Security,830.0,2021-03-29,Startup
2021-05-17,24041171,Colorado Springs,CO,80920.0,Sprinkler Startup ,Briargate,84.0,2021-05-17,Startup
2021-05-18,24044243,Colorado Springs,CO,80921.0,Sprinkler Startup ,North,299.0,2021-05-18,Startup
2021-04-07,24047315,Colorado Springs,CO,80929.0,Sprinkler Startup ,No Man's Land,737.95,2021-04-07,Startup
2021-04-07,24047831,Colorado Springs,CO,80920.0,Sprinkler Startup ,Briargate,854.0,2021-04-07,Startup
2021-03-19,24047962,colorado springs ,CO,80904.0,Sprinkler Repair,Westside,175.0,2021-03-19,Service
2021-04-06,24049619,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,84.0,2021-04-06,Startup
2021-04-01,24054372,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,49.0,2021-04-01,Startup
2021-04-26,24054747,Colorado Springs,CO,80916.0,Sprinkler Startup ,Airport,0.0,2021-04-26,Startup
2021-05-05,24054869,Colorado Springs,CO,80920.0,Sprinkler Startup ,Briargate,2362.4,2021-05-05,Startup
2021-04-02,24054999,Fountain,CO,80817.0,Sprinkler Startup ,Fountain/Security,0.0,2021-04-02,Startup
2021-04-08,24055134,Colorado Springs,CO,80922.0,Sprinkler Startup ,Powers,84.0,2021-04-08,Startup
2021-04-26,24055764,Colorado Springs,CO,80925.0,Sprinkler Startup ,Fountain/Security,167.4,2021-04-26,Startup
2021-04-06,24056276,Colorado Springs,CO,80907.0,Sprinkler Startup ,Downtown,167.4,2021-04-06,Startup
2021-04-26,24056406,Colorado Springs,CO,80911.0,Sprinkler Startup ,Fountain/Security,0.0,2021-04-26,Startup
2021-04-25,24056536,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,0.0,2021-04-25,Startup
2021-03-29,24056659,Colorado Springs,CO,80917.0,Sprinkler Startup ,Powers,1621.4,2021-03-29,Startup
2021-04-23,24056673,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,584.0,2021-04-23,Startup
2021-04-05,24057941,Fountain,CO,80817.0,Sprinkler Startup ,Fountain/Security,0.0,2021-04-05,Startup
2021-04-21,24057954,Security,CO,80911.0,Sprinkler Startup ,Fountain/Security,0.0,2021-04-21,Startup
2021-04-12,24058067,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,1035.0,2021-04-12,Startup
2021-04-01,24058323,Fountain,CO,80817.0,Sprinkler Startup ,Fountain/Security,150.0,2021-04-01,Startup
2021-04-13,24058337,Colorado Springs,Co,80911.0,Sprinkler Startup ,Fountain/Security,0.0,2021-04-13,Startup
2021-03-26,24059219,Colorado Springs,CO,80910.0,Sprinkler Startup ,Airport,0.0,2021-03-26,Startup
2021-05-04,24059232,Colorado Springs,CO,80916.0,Sprinkler Startup ,Airport,167.4,2021-05-04,Startup
2021-03-31,24059245,Colorado Springs,CO,80909.0,Sprinkler Startup ,Downtown,452.0,2021-04-05,Startup
2021-04-01,24059475,Fountain,CO,80817.0,Sprinkler Startup ,Fountain/Security,728.0,2021-04-01,Startup
2021-04-06,24059475-1,Fountain,CO,80817.0,Sprinkler Startup ,Fountain/Security,0.0,2021-04-01,Startup
2021-03-31,24059493,Colorado Springs,CO,80923.0,Sprinkler Startup ,Briargate,1880.95,2021-03-31,Startup
2021-04-23,24059738,Colorado Springs,CO,80916.0,Sprinkler Startup ,Airport,414.0,2021-04-23,Startup
2021-04-26,24060371,Colorado Springs,CO,80910.0,Sprinkler Startup ,Airport,313.0,2021-04-26,Startup
2021-05-06,24060499,Fountain,CO,80817.0,Sprinkler Startup ,Fountain/Security,19.0,2021-05-06,Startup
2021-04-30,24060890,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,49.0,2021-04-30,Startup
2021-05-12,24061523,Colorado Springs,CO,80916.0,Sprinkler Startup ,Airport,0.0,2021-05-12,Startup
2021-04-06,24061536,Colorado Springs,CO,80909.0,Sprinkler Startup ,Downtown,243.0,2021-04-06,Startup
2021-05-25,24061655,Colorado Springs,CO,80925.0,Sprinkler Startup ,Fountain/Security,0.0,2021-05-25,Startup
2021-05-17,24062036,Colorado Springs,CO,80925.0,Sprinkler Startup ,Fountain/Security,114.0,2021-05-17,Startup
2021-05-07,24062164,Colorado Springs,CO,80906.0,Sprinkler Startup ,Broadmoor,0.0,2021-05-07,Startup
2021-03-25,24062675,Colorado Springs,CO,80909.0,Sprinkler Startup ,Downtown,1227.0,2021-03-25,Startup
