location_zip,frequency_count,monetary_sum,f_score,m_score,score_total,label
80919,1653,489861.7400000041,1,1,2,Top
80920,1641,466744.7500000032,1,1,2,Top
80921,1309,347282.3300000003,1,1,2,Top
80132,1268,311673.34999999934,1,1,2,Top
80906,1236,449015.5000000031,1,1,2,Top
80918,994,267439.91999999905,1,1,2,Top
80923,822,191408.3999999992,1,1,2,Top
80922,748,165392.30999999956,1,1,2,Top
80907,714,201730.40999999948,1,1,2,Top
80908,578,125597.59999999969,1,1,2,Top
80909,544,149281.94999999972,1,1,2,Top
80904,469,112827.1799999998,1,1,2,Top
80924,457,101242.24999999991,1,2,3,Mid
80911,426,111282.79999999992,1,1,2,Top
80831,366,86122.89999999994,2,2,4,Mid
80917,339,113023.44999999978,2,1,3,Mid
80925,288,71012.55000000006,2,2,4,Mid
80817,265,64173.82000000006,2,2,4,Mid
80903,247,62986.55000000004,2,2,4,Mid
80905,235,65114.55000000007,2,2,4,Mid
80916,228,54413.900000000045,2,2,4,Mid
80915,218,51515.70000000006,2,2,4,Mid
80927,153,29295.500000000004,2,2,4,Mid
80910,147,37946.950000000026,2,2,4,Mid
80951,71,16247.899999999996,2,2,4,Mid
80106,61,22255.60000000001,2,2,4,Mid
80829,36,8000.199999999999,2,3,5,Low
80133,25,9248.55,3,3,6,Low
81005,24,7225.950000000001,3,3,6,Low
81007,23,5382.599999999999,3,3,6,Low
80118,15,6236.0,3,3,6,Low
81001,11,4538.6,3,3,6,Low
80926,11,1985.0,3,3,6,Low
80929,8,9276.35,3,2,5,Low
80939,7,1120.4,3,3,6,Low
80863,7,2735.2000000000003,3,3,6,Low
80212,3,362.0,3,3,6,Low
80027,3,611.0,3,3,6,Low
80938,2,314.0,4,4,8,Low
80937,2,221.4,4,4,8,Low
80123,2,274.4,4,4,8,Low
80109,2,1087.0,4,3,7,Low
80112,2,232.4,4,4,8,Low
81008,2,1085.0,3,3,6,Low
78108,2,148.0,3,4,7,Low
808017,1,74.0,4,4,8,Low
81006,1,79.0,4,4,8,Low
8017,1,69.0,4,4,8,Low
80928,1,98.0,4,4,8,Low
22205,1,69.0,4,4,8,Low
80809,1,121.95,4,4,8,Low
80246,1,199.0,4,4,8,Low
33308,1,49.0,4,4,8,Low
880951,1,74.0,4,4,8,Low
